Year,Entity,Life expectancy
1816,Brazil,31.996906
1817,Brazil,31.996714
1818,Brazil,31.996519
1819,Brazil,31.996326
1820,Brazil,31.996134
1821,Brazil,31.995939
1822,Brazil,31.995747
1823,Brazil,31.995554
1824,Brazil,31.995359
1825,Brazil,31.995167
1826,Brazil,31.994974
1827,Brazil,31.99478
1828,Brazil,31.994587
1829,Brazil,31.994392
1830,Brazil,31.9942
1831,Brazil,31.994007
1832,Brazil,31.993813
1833,Brazil,31.99362
1834,Brazil,31.993427
1835,Brazil,31.993233
1836,Brazil,31.99304
1837,Brazil,31.992847
1838,Brazil,31.992653
1839,Brazil,31.99246
1840,Brazil,31.992268
1841,Brazil,31.992073
1842,Brazil,31.99188
1843,Brazil,31.991686
1844,Brazil,31.991493
1845,Brazil,31.991301
1846,Brazil,31.991106
1847,Brazil,31.990913
1848,Brazil,31.990721
1849,Brazil,31.990526
1850,Brazil,31.990334
1851,Brazil,31.990141
1852,Brazil,31.989946
1853,Brazil,31.989754
1854,Brazil,31.989559
1855,Brazil,31.989367
1856,Brazil,31.989174
1857,Brazil,31.988979
1858,Brazil,31.988787
1859,Brazil,31.988594
1860,Brazil,31.9884
1861,Brazil,31.988207
1862,Brazil,31.988014
1863,Brazil,31.98782
1864,Brazil,31.987627
1865,Brazil,31.987432
1866,Brazil,31.98724
1867,Brazil,31.987047
1868,Brazil,31.986853
1869,Brazil,31.98666
1870,Brazil,31.986467
1871,Brazil,31.986273
1872,Brazil,31.98608
1873,Brazil,31.985888
1874,Brazil,31.985693
1875,Brazil,31.9855
1876,Brazil,31.985306
1877,Brazil,31.985113
1878,Brazil,31.984921
1879,Brazil,31.984726
1880,Brazil,31.984533
1881,Brazil,31.984341
1882,Brazil,31.984146
1883,Brazil,31.983953
1884,Brazil,31.983761
1885,Brazil,31.983566
1886,Brazil,31.983374
1887,Brazil,31.983179
1888,Brazil,31.982986
1889,Brazil,31.982794
1890,Brazil,31.982599
1891,Brazil,31.982407
1892,Brazil,31.982214
1893,Brazil,31.982019
1894,Brazil,31.981827
1895,Brazil,31.981634
1896,Brazil,31.98144
1897,Brazil,31.981247
1898,Brazil,31.981052
1899,Brazil,31.98086
1900,Brazil,31.980667
1901,Brazil,31.980473
1902,Brazil,31.98028
1903,Brazil,31.980087
1904,Brazil,31.979893
1905,Brazil,31.9797
1906,Brazil,31.979507
1907,Brazil,31.979313
1908,Brazil,31.97912
1909,Brazil,31.978928
1910,Brazil,31.978733
1911,Brazil,31.97854
1912,Brazil,31.978346
1913,Brazil,31.978153
1914,Brazil,31.977961
1915,Brazil,31.977766
1916,Brazil,31.977573
1917,Brazil,31.977381
1918,Brazil,26.978191
1919,Brazil,31.976994
1920,Brazil,31.976801
1921,Brazil,31.97912
1922,Brazil,31.98144
1923,Brazil,31.983761
1924,Brazil,31.98608
1925,Brazil,31.9884
1926,Brazil,31.990721
1927,Brazil,31.99304
1928,Brazil,31.995359
1929,Brazil,31.997681
1930,Brazil,32
1931,Brazil,32.464073
1932,Brazil,32.928143
1933,Brazil,33.392216
1934,Brazil,33.856289
1935,Brazil,34.320358
1936,Brazil,34.784431
1937,Brazil,35.248505
1938,Brazil,35.712578
1939,Brazil,36.176647
1940,Brazil,36.64072
1941,Brazil,37.772575
1942,Brazil,38.90443
1943,Brazil,40.036289
1944,Brazil,41.168144
1945,Brazil,42.299999
1946,Brazil,43.848
1947,Brazil,45.396
1948,Brazil,46.944
1949,Brazil,48.492001
1950,Brazil,50.040001
1951,Brazil,50.279999
1952,Brazil,50.763
1953,Brazil,51.248001
1954,Brazil,51.737
1955,Brazil,52.23
1956,Brazil,52.724998
1957,Brazil,53.222
1958,Brazil,53.720001
1959,Brazil,54.214001
1960,Brazil,54.702
1961,Brazil,55.179001
1962,Brazil,55.643002
1963,Brazil,56.091
1964,Brazil,56.521
1965,Brazil,56.935001
1966,Brazil,57.334
1967,Brazil,57.722
1968,Brazil,58.105
1969,Brazil,58.484001
1970,Brazil,58.865002
1971,Brazil,59.250999
1972,Brazil,59.644001
1973,Brazil,60.042
1974,Brazil,60.443001
1975,Brazil,60.844002
1976,Brazil,61.236
1977,Brazil,61.615002
1978,Brazil,61.978001
1979,Brazil,62.327999
1980,Brazil,62.668999
1981,Brazil,63.007999
1982,Brazil,63.353001
1983,Brazil,63.709999
1984,Brazil,64.081001
1985,Brazil,64.466003
1986,Brazil,64.862
1987,Brazil,65.264
1988,Brazil,65.667
1989,Brazil,66.068001
1990,Brazil,68.410004
1991,Brazil,68.739998
1992,Brazil,68.910004
1993,Brazil,69.129997
1994,Brazil,69.379997
1995,Brazil,69.660004
1996,Brazil,69.959999
1997,Brazil,70.339996
1998,Brazil,70.669998
1999,Brazil,70.980003
2000,Brazil,71.360001
2001,Brazil,71.760002
2002,Brazil,72.059998
2003,Brazil,72.330002
2004,Brazil,72.620003
2005,Brazil,72.93
2006,Brazil,73.199997
2007,Brazil,73.459999
2008,Brazil,73.720001
2009,Brazil,73.940002
2010,Brazil,74.150002
2011,Brazil,74.379997
2012,Brazil,74.639999
2013,Brazil,74.839996
2014,Brazil,75.010002
2015,Brazil,75.139999
2016,Brazil,75.239998
1800,Canada,39
1801,Canada,39.001495
1802,Canada,39.002995
1803,Canada,39.00449
1804,Canada,39.005985
1805,Canada,39.007484
1806,Canada,39.00898
1807,Canada,39.010479
1808,Canada,39.011974
1809,Canada,39.01347
1810,Canada,39.014969
1811,Canada,39.016464
